id,name,type,parent,attributes,Tekla Common.Class,Tekla Common.Phase,Tekla Common.Preliminary mark,Tekla Common.Initial GUID,Tekla Common.Top elevation,Tekla Common.Bottom elevation,Tekla Quantity.Length,Tekla Quantity.Width,Tekla Quantity.Height,Tekla Quantity.Net surface area,Tekla Quantity.Area per tons,Tekla Quantity.Gross footprint area,Tekla Quantity.Volume,Tekla Quantity.Weight,Pours.Pour Concrete Mixture,Pours.Pour Comment,Pours.Pour Number,Pours.Pour Type,Pours.Pour User Field1,Pours.Pour User Field2,Pours.Pour User Field3,Pours.Pour User Field4,Pours.Pour Formwork Checked By,Pours.Pour Formwork Comment,Pours.Pour Formwork Status,Pours.Pour Formwork Check Date,Pours.Pour Planned Start Form,Pours.Pour Planned End Form,Pours.Pour Actual Start Form,Pours.Pour Actual End Form,Pours.Pour Rebar CheckedBy,Pours.Pour Rebar Comment,Pours.Pour Rebar Release Number,Pours.Pour Rebar Shipment Number,Pours.Pour Rebar Status,Pours.Pour Rebar Check Date,Pours.Pour Planned Start Rebar,Pours.Pour Planned End Rebar,Pours.Pour Actual Start Rebar,Pours.Pour Actual End Rebar,Pours.Pour Checked By,Pours.Pour Status,Pours.Pour Check Date,Pours.Pour Planned Start Date,Pours.Pour Planned End Date,Pours.Pour Actual Start Date,Pours.Pour Actual End Date,Pours.Pour Area,Pours.Pour Area PGZ,Pours.Pour Area NGZ,Pours.Pour Area PGX,Pours.Pour Area NXG,Pours.Pour Area PGY,Pours.Pour Area NGY,Pours.Pour Content Type,Pours.Pour GUID,Pours.Pour ID,Pours.Pour Material,Pours.Pour Top Level,Pours.Pour Bottom Level,Pours.Pour Volume,Pours.Pour Weight,Pours.Pour Weight Net,Pours.Pour Break GUID,Pours.Pour Break ID,Pours.Pour Break Type,Pours.Pour Break Comment,SlabBaseQuantities.Width,SlabBaseQuantities.NetArea,SlabBaseQuantities.NetVolume,SlabBaseQuantities.NetWeight,Pset_SlabCommon.Reference,Pset_SlabCommon.AcousticRating,Pset_SlabCommon.FireRating,Pset_SlabCommon.Combustible,Pset_SlabCommon.SurfaceSpreadOfFlame,Pset_SlabCommon.ThermalTransmittance,Pset_SlabCommon.IsExternal,Pset_SlabCommon.LoadBearing,Pset_SlabCommon.Compartmentation,Pset_SlabCommon.PitchAngle,attributes.elevation
3sh$jNAdvFhA1PQ4k64_yM,U-Y/1-8,IfcSlab,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,2398,180,22.773,5.247,9.993,1.808,4340.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,10,1.8,4340,,,,False,,,False,False,False,,
0LG3YHMCn2SfgTwxzE1TNG,Q-T/53-60,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.68,5.445,7.43,1.353,3246.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,15403891-58cc-4272-9a9d-ebbf4e05d5d0,,C25/30, +0.180, +0.000,1.353,3246.7,3246.7,15403891-58cc-4272-9a9d-ebbf4e05d5d0,,,,,,,,,,,,,,,,,,
1wjJ5LPsrBJv29Kn8jOHEb,E-H/25-32,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.685,5.447,7.43,1.353,3246.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,7ab53155-676d-4b4f-9089-53122d6113a5,,C25/30, +0.180, +0.000,1.353,3246.4,3246.4,7ab53155-676d-4b4f-9089-53122d6113a5,,,,,,,,,,,,,,,,,,
3CWxnUvK51SRi4ydUnicHv,A-D/81-86,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.931,5.588,5.271,0.964,2314.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,cc83bc5e-e541-4171-bb04-f277b1b26479,,C25/30, +0.180, +0.000,0.964,2314.3,2314.3,cc83bc5e-e541-4171-bb04-f277b1b26479,,,,,,,,,,,,,,,,,,
0plghDHqHE8BWtVxmHX2aM,E-H/13-18,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.895,5.569,5.283,0.965,2315.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,33beaacd-4744-4e20-b837-7fbc11842916,,C25/30, +0.180, +0.000,0.965,2315.8,2315.8,33beaacd-4744-4e20-b837-7fbc11842916,,,,,,,,,,,,,,,,,,
16VFI0RO93QPX0eHrpxepV,Q-T/25-32,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.67,5.442,7.434,1.353,3247.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,467cf480-6d82-4369-9840-a11d73ee8cdf,,C25/30, +0.180, +0.000,1.353,3247,3247,467cf480-6d82-4369-9840-a11d73ee8cdf,,,,,,,,,,,,,,,,,,
2Ajc8o16nAxxEUOtY$nucJ,E-H/81-86,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.935,5.589,5.271,0.964,2314.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,8ab66232-046c-4aef-b39e-6378bfc78993,,C25/30, +0.180, +0.000,0.964,2314.3,2314.3,8ab66232-046c-4aef-b39e-6378bfc78993,,,,,,,,,,,,,,,,,,
3CHLiFpbP14Q4j9v4vBg5N,I-L/61-68,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.613,5.421,7.449,1.354,3248.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,cc455b0f-ce56-4111-a12d-2791392ea157,,C25/30, +0.180, +0.000,1.354,3248.9,3248.9,cc455b0f-ce56-4111-a12d-2791392ea157,,,,,,,,,,,,,,,,,,
2Q0TezCKD2eh6ohm$VZnxl,A-D/47-52,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.913,5.578,5.276,0.965,2314.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,9a01da3d-3143-42a2-b1b2-af0fdf8f1eef,,C25/30, +0.180, +0.000,0.965,2314.9,2314.9,9a01da3d-3143-42a2-b1b2-af0fdf8f1eef,,,,,,,,,,,,,,,,,,
33rmKJDLL00w2WlaoPUPl1,M-P/81-86,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.957,5.601,5.263,0.964,2313.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,c3d70513-3555-4003-a0a0-be4c99799bc1,,C25/30, +0.180, +0.000,0.964,2313.5,2313.5,c3d70513-3555-4003-a0a0-be4c99799bc1,,,,,,,,,,,,,,,,,,
2T5BU0IIX9DxmIQUQGyIUl,M-P/1-6,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.824,5.532,5.302,0.966,2318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,5.4,5.4,0.4,0.4,0.6,0.6,PART,9d14b780-4928-4937-bc12-69e690f127af,,C25/30, +0.180, +0.000,0.966,2318,2318,9d14b780-4928-4937-bc12-69e690f127af,,,,,,,,,,,,,,,,,,
3enSwqrHTF5eCY1MnJzeBE,A-D/87-92,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.93,5.587,5.271,0.964,2314.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,e8c5ceb4-d517-4f16-8322-056c53f682ce,,C25/30, +0.180, +0.000,0.964,2314.3,2314.3,e8c5ceb4-d517-4f16-8322-056c53f682ce,,,,,,,,,,,,,,,,,,
0jyvBu8$X9cBd$Gy_0AR6h,A-D/53-60,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.689,5.449,7.426,1.353,3246.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,2df392f8-23f8-4998-b9ff-43cf8029b1ab,,C25/30, +0.180, +0.000,1.353,3246.1,3246.1,2df392f8-23f8-4998-b9ff-43cf8029b1ab,,,,,,,,,,,,,,,,,,
1cSklEimzF48lNH3M1gUWN,U-Y/49-52,IfcSlab,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1798,2398,180,10.539,5.699,4.199,0.77,1849.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,4.2,0.8,1849.1,,,,False,,,False,False,False,,
1JxPa0ekjAZRRpsqF5MElb,A-D/75-80,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.927,5.585,5.271,0.964,2314.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,53ed9900-a2eb-4a8d-b6f3-db43c558ebe5,,C25/30, +0.180, +0.000,0.964,2314.3,2314.3,53ed9900-a2eb-4a8d-b6f3-db43c558ebe5,,,,,,,,,,,,,,,,,,
2uRaWdSz12RRfldXmpPJ6K,E-H/47-52,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.919,5.581,5.276,0.965,2314.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,b86e4827-73d0-426d-ba6f-9e1c33653194,,C25/30, +0.180, +0.000,0.965,2314.9,2314.9,b86e4827-73d0-426d-ba6f-9e1c33653194,,,,,,,,,,,,,,,,,,
25AclPFAz2M9fqe3x3jmc4,U-Y/41-44,IfcSlab,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1798,2398,180,10.496,5.672,4.211,0.771,1850.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,4.2,0.8,1850.5,,,,False,,,False,False,False,,
05HHRkPUr6qR3G3tfP2iGO,A-D/1-6,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.796,5.519,5.308,0.966,2318.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,054516ee-65ed-46d1-b0d0-0f7a590ac418,,C25/30, +0.180, +0.000,0.966,2318.8,2318.8,054516ee-65ed-46d1-b0d0-0f7a590ac418,,,,,,,,,,,,,,,,,,
0H4ENToFr4s9euiHHHwh0r,I-N/13-15,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1198,2998,180,9.042,5.871,3.495,0.642,1540.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,3.6,3.6,0.6,0.6,0.3,0.3,PART,1110e5dd-c8fd-44d8-9a38-b11451eab035,,C25/30, +0.180, +0.000,0.642,1540.1,1540.1,1110e5dd-c8fd-44d8-9a38-b11451eab035,,,,,,,,,,,,,,,,,,
3rgTXJXuD0ag_QAKk$b9Dj,E-H/87-92,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.935,5.589,5.271,0.964,2314.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,f5a9d853-8783-4092-af9a-294bbf94936d,,C25/30, +0.180, +0.000,0.964,2314.3,2314.3,f5a9d853-8783-4092-af9a-294bbf94936d,,,,,,,,,,,,,,,,,,
